Model,GPU UUID,Batch,Concurrency,Model Config Path,Instance Group,Satisfies Constraints,GPU Memory Usage (MB),GPU Utilization (%),GPU Power Usage (W)
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_4,1:GPU,Yes,1334.8,57.0,57.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_4,1:GPU,Yes,1334.8,67.5,57.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_4,1:GPU,Yes,1334.8,60.5,49.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_4,1:GPU,Yes,1334.8,57.0,39.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_4,1:GPU,Yes,1334.8,68.8,42.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_4,1:GPU,Yes,1334.8,55.5,39.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_21,3:GPU,Yes,2521.8,95.0,78.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_21,3:GPU,Yes,2521.8,81.0,73.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_21,3:GPU,Yes,2521.8,78.0,72.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_21,3:GPU,Yes,2521.8,87.7,78.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_21,3:GPU,Yes,2521.8,64.5,55.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_21,3:GPU,Yes,2521.8,59.3,53.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_21,3:GPU,Yes,2521.8,40.5,41.5
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_21,3:GPU,Yes,2521.8,47.0,39.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_21,3:GPU,Yes,2521.8,79.0,45.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_21,3:GPU,Yes,2521.8,53.8,39.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_28,4:GPU,Yes,3069.2,95.5,79.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1024,resnet50_config_28,4:GPU,Yes,3069.2,96.3,82.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_28,4:GPU,Yes,3069.2,96.3,81.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_28,4:GPU,Yes,3069.2,93.7,77.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_28,4:GPU,Yes,3069.2,71.0,64.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_28,4:GPU,Yes,3069.2,51.0,58.1
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_28,4:GPU,Yes,3069.2,68.8,53.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_28,4:GPU,Yes,3069.2,80.7,54.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_28,4:GPU,Yes,3069.2,77.2,48.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,2,resnet50_config_28,4:GPU,Yes,3069.2,37.8,39.9
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,1,resnet50_config_28,4:GPU,Yes,3069.2,61.8,40.3
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,128,resnet50_config_20,3:GPU,Yes,2490.4,90.0,79.4
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,64,resnet50_config_20,3:GPU,Yes,2490.4,91.8,77.7
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,256,resnet50_config_20,3:GPU,Yes,2490.4,92.3,79.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,512,resnet50_config_20,3:GPU,Yes,2490.4,90.0,78.2
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,32,resnet50_config_20,3:GPU,Yes,2490.4,55.8,48.8
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,16,resnet50_config_20,3:GPU,Yes,2490.4,50.7,54.0
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,8,resnet50_config_20,3:GPU,Yes,2490.4,50.7,45.6
resnet50,GPU-2b917643-a0ef-b090-ac96-c822d5e8e027,1,4,resnet50_config_20,3:GPU,Yes,2490.4,53.0,42.1
